organism_id,organism_name,antibiotic_id,antibiotic_name,pair_count_full_dataset,pair_count_test_set,shap_sample_n,top_feature_1,top_feature_1_mean_abs_shap,top_feature_2,top_feature_2_mean_abs_shap,top_feature_3,top_feature_3_mean_abs_shap,top_feature_4,top_feature_4_mean_abs_shap,top_feature_5,top_feature_5_mean_abs_shap,top_feature_6,top_feature_6_mean_abs_shap,top_feature_7,top_feature_7_mean_abs_shap,top_feature_8,top_feature_8_mean_abs_shap,top_feature_9,top_feature_9_mean_abs_shap,top_feature_10,top_feature_10_mean_abs_shap
16,SERRATIA MARCESCENS,21,Other,38542,186,186,antibiotic,2.0528473702794887,organism,1.2440633991303283,age,1.1423170947141768,Q25_temp,0.9320121311478087,has_chf,0.5510542256167517,Q25_sysbp,0.3347912002383101,has_dementia,0.32875998851963834,Q75_cr,0.28236280154811977,Q75_hco3,0.28176868668521343,Q75_wbc,0.2677745760029268
7,ESCHERICHIA COLI,27,Trimethoprim/Sulfamethoxazole,28710,5044,2000,antibiotic,3.3607725736452037,organism,2.7204487452938055,Q75_hco3,0.5460839260949302,gender,0.5346301477960661,min_time_to_med,0.5268669605779147,age,0.49050740275380067,Q25_sysbp,0.4851218410700896,Q75_plt,0.47262440181496607,Q75_heartrate,0.46751666639114187,min_time_to_class,0.44605816366066947
7,ESCHERICHIA COLI,10,Ciprofloxacin,28632,5044,2000,antibiotic,3.790205012642045,organism,1.4890512175220332,gender,0.8953604265276861,Q75_wbc,0.669884650022933,has_ckd,0.5605793356835784,Q75_heartrate,0.46641177412555457,min_time_to_med,0.4326314013097566,has_transplant,0.40489733407218004,Q75_resprate,0.4037905130932511,n_med_categories,0.37352918969815213
7,ESCHERICHIA COLI,14,Gentamicin,28575,4930,2000,antibiotic,3.4117418097135666,gender,0.9075244148235514,organism,0.8804175410744645,age,0.5752926044787436,min_time_to_med,0.5257998879972804,min_time_to_class,0.47707448657074764,Q25_cr,0.475652852396621,Q75_bun,0.4441515485042555,Q75_hco3,0.43888585038451955,Q25_lymphocytes,0.4008481530691294
7,ESCHERICHIA COLI,2,Ampicillin,28306,5040,2000,antibiotic,16.201967983762252,gender,1.0791283801195857,n_med_categories,0.7395512260866608,min_time_to_med,0.56404236850126,has_transplant,0.476810711417434,Q75_heartrate,0.4555919839746535,Q75_sysbp,0.44663458902547337,age,0.40152129426206684,Q75_plt,0.39451299377928256,Q25_heartrate,0.3888009968669802
7,ESCHERICHIA COLI,24,Piperacillin/Tazobactam,27055,4807,2000,antibiotic,2.9551662259692546,min_time_to_class,0.5877857037350905,Q75_hco3,0.5617468874118574,n_med_categories,0.5209444862455208,Q75_cr,0.5189665152655397,gender,0.47064914068593366,Q75_heartrate,0.45253057075621045,age,0.4430461322186524,has_ckd,0.42013914220477727,Q25_sysbp,0.41347074146687635
7,ESCHERICHIA COLI,16,Levofloxacin,26406,4315,2000,antibiotic,3.7267942175043283,organism,1.513892134615164,gender,0.8607166091000555,Q75_heartrate,0.6681650773119426,n_med_categories,0.5097136725686561,has_ckd,0.45917025297807706,Q75_wbc,0.45744906527410856,min_time_to_med,0.42861027440599414,min_time_to_class,0.3989705990439489,Q75_lactate,0.38015173325710944
7,ESCHERICHIA COLI,5,Cefazolin,26322,4982,2000,antibiotic,5.809907842565187,min_time_to_class,0.617822802474419,age,0.6177226548988073,gender,0.6176417798627122,Q75_hco3,0.6060492703071815,Q75_cr,0.5906965342157282,n_med_categories,0.5888404907613305,Q75_heartrate,0.5531990752158643,has_transplant,0.4944121748655925,min_time_to_med,0.47668387949977986
7,ESCHERICHIA COLI,9,Ceftriaxone,25852,4688,2000,antibiotic,1.055888749216283,organism,0.8461743428248998,gender,0.6096513155440213,Q75_hco3,0.5960684204394585,has_ckd,0.5595045830946195,Q75_cr,0.5582751870657107,n_med_categories,0.5094686215466105,min_time_to_class,0.4828307800171646,age,0.4826679385173655,has_transplant,0.47499542794042016
7,ESCHERICHIA COLI,18,Meropenem,25182,4559,2000,antibiotic,12.05453967886176,gender,0.9463444534459531,age,0.6405524035722404,Q75_cr,0.536735007242843,Q75_hco3,0.4186694338469031,Q75_heartrate,0.4163185469109984,min_time_to_class,0.41178036327616696,Q25_cr,0.4114130579592965,Q75_resprate,0.3908989853093302,min_time_to_med,0.38528952670926564
